id,cell,cat,num,category,type,baseDifficulty,handDifficulty,footDifficulty,footRating,footLabel,generalUsability,direction,directionLabel,center_x,center_y,boxSize,idealUsage,ideal
1779864846959,"0,1",F,17,wall features,crimp,3,6,10,5,Hell,9,90,right,255.6597900390625,885.8281555175781,34.88922119140625,Hand,Hand
1779864849577,"0,1",F,18,wall features,crimp,3,6,10,5,Hell,9,90,right,253.81271362304688,850.1180114746094,44.74029541015625,Hand,Hand
1779864859304,"0,1",F,19,wall features,pocket,4,8,10,5,Hell,10,90,right,202.91551208496094,872.4881591796875,25.03814697265625,Hand,Hand
1779864863464,"0,1",F,20,wall features,pocket,3,6,10,5,Hell,9,180,down,202.29981994628906,893.01123046875,33.6578369140625,Hand,Hand
1779864867360,"0,1",F,21,wall features,sloper,3,6,8,4,Bad,7,180,down,201.47889709472656,918.0493774414062,24.627685546875,Hand,Hand
1779864873473,"0,1",F,22,wall features,pinch,3,6,8,4,Bad,8,180,down,217.48688507080078,821.5909729003906,50.07627868652344,Hand,Hand
1779864880736,"0,1",F,23,wall features,crimp,4,8,10,5,Hell,10,180,down,254.0179443359375,815.0236206054688,37.762451171875,Hand,Hand
1779864887873,"0,1",F,24,wall features,crimp,5,10,10,5,Hell,10,180,down,280.49269104003906,824.66943359375,36.531005859375,Hand,Hand
1779864891280,"0,1",F,25,wall features,jug,1,2,4,2,Good,2,180,down,318.66558837890625,832.878662109375,51.30767822265625,General,General
1779864895431,"0,1",F,26,wall features,crimp,5,10,10,5,Hell,10,180,down,355.1966552734375,832.4682006835938,33.247314453125,Hand,Hand
1779864898206,"0,1",F,27,wall features,jug,1,2,4,2,Good,2,180,down,384.13417053222656,833.9048156738281,45.150726318359375,General,General
1779864903319,"0,1",F,28,wall features,pinch,4,8,10,5,Hell,9,180,down,436.4679870605469,834.7257385253906,57.87506103515625,Hand,Hand
1779864909163,"0,1",F,29,wall features,crimp,5,10,10,5,Hell,10,180,down,477.3088836669922,833.6995849609375,37.762420654296875,Hand,Hand
1779864913066,"0,1",F,30,wall features,crimp,4,8,10,5,Hell,10,90,right,510.5562286376953,794.5005493164062,55.0018310546875,Hand,Hand
1779864916874,"0,1",F,31,wall features,crimp,5,10,10,5,Hell,10,270,left,527.179931640625,809.6876220703125,39.404296875,Hand,Hand
1779864922384,"0,1",F,32,wall features,crimp,5,10,10,5,Hell,10,135,down-right,564.32666015625,844.1663513183594,59.9273681640625,Hand,Hand
1779864932056,"0,1",F,33,wall features,crimp,4,8,10,5,Hell,10,90,right,170.48906707763672,743.398193359375,92.353759765625,Hand,Hand
1779864936119,"0,1",F,34,wall features,pinch,3,6,8,4,Bad,8,90,right,212.7665786743164,752.2231140136719,63.21099853515625,Hand,Hand
1779864940784,"0,1",F,35,wall features,crimp,5,10,10,5,Hell,10,180,down,258.53302001953125,767.2049560546875,36.12060546875,Hand,Hand
1779864945274,"0,1",F,36,wall features,crimp,5,10,10,5,Hell,10,270,left,312.3034362792969,762.8951110839844,36.12060546875,Hand,Hand
1779864947656,"0,1",F,37,wall features,crimp,5,10,10,5,Hell,10,180,down,319.6917419433594,731.0843811035156,42.68798828125,Hand,Hand
1779864953974,"0,1",F,38,wall features,pinch,4,8,10,5,Hell,9,90,right,451.2445831298828,767.2049560546875,58.6959228515625,Hand,Hand
1779864958280,"0,1",F,39,wall features,crimp,4,8,10,5,Hell,10,180,down,478.3350524902344,717.3339233398438,68.54705810546875,Hand,Hand
1779864963083,"0,1",F,40,wall features,crimp,2,4,10,5,Hell,8,225,down-left,561.2481994628906,726.7745361328125,63.62152099609375,Hand,Hand
1779864968872,"0,1",F,41,wall features,crimp,5,10,10,5,Hell,10,180,down,285.6234588623047,704.8148498535156,71.42025756835938,Hand,Hand
1779864973100,"0,1",F,42,wall features,crimp,3,6,8,4,Bad,9,180,down,378.7981719970703,686.54931640625,118.21286010742188,Hand,Hand
1779864977513,"0,1",F,43,wall features,crimp,5,10,10,5,Hell,10,180,down,476.6931915283203,668.8994750976562,62.800567626953125,Hand,Hand
1779864983120,"0,1",F,44,wall features,crimp,4,8,10,5,Hell,10,180,down,272.07823181152344,662.7425537109375,68.95748901367188,Hand,Hand
1779864988584,"0,1",F,45,wall features,uncategorized,4,8,6,3,Mid,7,180,down,376.3354034423828,650.0182495117188,128.06393432617188,Not Ideal,Not Ideal
1779864739553,"0,1",I,1,insert holds,crimp,2,4,8,4,Bad,8,135,down-right,443.5877380371094,917.1602478027344,84.8994140625,Hand,Hand
1779865034296,"1,1",C,1,climbing holds,jug,1,2,2,1,Heaven,1,180,down,719.1128845214844,1057.9027709960938,85.11834716796875,General,General
1779865039384,"1,1",C,2,climbing holds,jib,2,4,10,5,Hell,8,180,down,1028.578857421875,1070.6705322265625,41.951171875,Hand,Hand
1779865052999,"1,1",C,3,climbing holds,jug,1,2,4,2,Good,2,0,up,928.2608032226562,959.7127380371094,59.58282470703125,General,General
1779865063152,"1,1",C,4,climbing holds,sloper,3,6,4,2,Good,7,270,left,638.8584594726562,843.2829895019531,122.20562744140625,Not Ideal,Not Ideal
1779865066665,"1,1",C,5,climbing holds,jug,2,4,4,2,Good,2,135,down-right,738.8724975585938,832.3392028808594,69.91864013671875,General,General
1779865069333,"1,1",C,6,climbing holds,crimp,2,4,10,5,Hell,8,135,down-right,831.8946838378906,872.4664001464844,61.40679931640625,Hand,Hand
1779865073487,"1,1",C,7,climbing holds,jug,1,2,2,1,Heaven,1,180,down,663.7859802246094,680.0381774902344,91.19818115234375,General,General
1779865110942,"1,1",F,1,wall features,uncategorized,4,8,6,3,Mid,7,180,down,893.6054992675781,1044.5270690917969,164.15679931640625,Not Ideal,Not Ideal
