cell_x,cell_y,category,num,type,difficulty,direction
2,2,wall features,39,crimp,5,270
2,2,wall features,4,crimp,3,180
2,2,wall features,40,crimp,3,180
2,2,wall features,41,pinch,4,90
2,2,wall features,42,crimp,3,180
2,2,wall features,43,crimp,3,225
2,2,wall features,44,crimp,5,180
2,2,wall features,45,crimp,5,180
2,2,wall features,5,crimp,5,180
2,2,wall features,6,pocket,5,270
2,2,wall features,7,pocket,5,270
2,2,wall features,8,pocket,5,180
2,2,wall features,9,pocket,5,90
2,3,climbing holds,1,jug,4,135
2,3,climbing holds,2,crimp,3,180
2,3,climbing holds,3,crimp,2,225
2,3,climbing holds,4,sloper,2,180
2,3,climbing holds,5,jug,1,180
2,3,insert holds,1,sloper,3,180
2,3,wall features,1,uncategorized,5,0
2,3,wall features,2,uncategorized,4,180
3,0,climbing holds,1,jug,1,180
3,0,climbing holds,2,jug,3,180
3,0,climbing holds,3,jug,1,180
3,0,climbing holds,4,jug,1,180
3,0,climbing holds,5,jug,1,180
3,0,climbing holds,6,crimp,4,135
3,0,climbing holds,7,crimp,4,180
3,0,climbing holds,8,jug,1,180
3,0,climbing holds,9,jug,1,0
3,0,insert holds,1,pocket,2,270
3,0,insert holds,2,crimp,2,0
3,0,wall features,1,uncategorized,3,180
3,0,wall features,2,uncategorized,3,180
3,0,wall features,3,uncategorized,5,180
3,0,wall features,4,uncategorized,3,135
3,0,wall features,5,uncategorized,3,180
3,0,wall features,6,uncategorized,5,180
3,1,climbing holds,1,crimp,2,225
3,1,climbing holds,10,sloper,2,180
3,1,climbing holds,2,jug,1,180
3,1,climbing holds,3,jug,1,315
3,1,climbing holds,4,pinch,1,270
3,1,climbing holds,5,sloper,4,180
3,1,climbing holds,6,crimp,3,225
3,1,climbing holds,7,jug,5,180
3,1,climbing holds,8,pinch,1,270
3,1,climbing holds,9,pinch,1,180
3,1,insert holds,1,crimp,5,270
3,1,insert holds,2,crimp,2,270
3,1,wall features,1,crimp,5,315
3,1,wall features,10,uncategorized,5,180
3,1,wall features,2,crimp,3,315
3,1,wall features,3,crimp,5,315
3,1,wall features,4,crimp,4,315
3,1,wall features,5,crimp,3,270
3,1,wall features,6,crimp,2,315
3,1,wall features,7,crimp,4,315
3,1,wall features,8,jib,5,180
3,1,wall features,9,uncategorized,5,180
3,2,climbing holds,1,crimp,1,180
3,2,climbing holds,10,crimp,1,180
3,2,climbing holds,2,crimp,2,135
3,2,climbing holds,3,jug,1,180
3,2,climbing holds,4,jug,2,180
3,2,climbing holds,5,pocket,3,180
3,2,climbing holds,6,sloper,4,180
3,2,climbing holds,7,sloper,3,180
3,2,climbing holds,8,jug,1,270
3,2,climbing holds,9,crimp,2,180
3,2,insert holds,1,pocket,1,225
3,2,insert holds,2,crimp,3,180
3,2,wall features,1,uncategorized,5,180
3,2,wall features,10,uncategorized,5,180
3,2,wall features,11,uncategorized,5,180
3,2,wall features,12,uncategorized,5,180
3,2,wall features,13,pocket,5,180
3,2,wall features,14,uncategorized,5,180
3,2,wall features,15,uncategorized,5,180
3,2,wall features,2,uncategorized,5,180
3,2,wall features,3,uncategorized,3,180
3,2,wall features,4,uncategorized,4,180
3,2,wall features,5,uncategorized,5,180
3,2,wall features,6,uncategorized,3,180
3,2,wall features,7,uncategorized,4,180
3,2,wall features,8,uncategorized,5,180
3,2,wall features,9,uncategorized,5,180
3,3,climbing holds,1,jug,4,180
3,3,climbing holds,2,crimp,1,180
3,3,climbing holds,3,jug,1,180
3,3,climbing holds,4,crimp,1,180
3,3,climbing holds,5,jug,1,270
3,3,climbing holds,6,uncategorized,5,135
3,3,insert holds,1,pocket,2,180
3,3,wall features,1,uncategorized,2,180
3,3,wall features,2,uncategorized,3,180
